F,t
6.478,0.008
7.412,0.009
8.065,0.011
14.388,0.017
14.128,0.059
13.6,0.116
15.505,0.156
15.289,0.37
11.965,0.431
13.53,0.444
10.734,0.598
10.852,0.694
10.852,0.694
15.22,0.781
20.849,0.02
19.904,0.023
20.95,0.024
19.991,0.025
20.101,0.025
16.783,0.036
16.82,0.036
18.696,0.048
21.182,0.057
21.166,0.072
19.652,0.079
20.065,0.103
21.587,0.116
19.718,0.117
20.811,0.153
20.637,0.176
20.514,0.183
16.782,0.327
18.659,0.334
21.171,0.423
18.646,0.452
15.93,0.605
21.488,0.629
18.854,0.785
17.984,0.831
16.234,0.833
17.375,0.952
16.359,1.078
16.359,1.078
16.321,1.088
18.078,1.237
19.636,1.754
19.636,1.754
25.265,0.007
26.147,0.008
26.219,0.012
28.161,0.013
24.116,0.015
22.646,0.016
22.646,0.016
24.208,0.019
24.208,0.019
27.509,0.02
25.246,0.027
25.724,0.032
27.499,0.033
21.609,0.037
21.609,0.037
26.574,0.043
23.867,0.048
25.24,0.051
25.279,0.053
26.704,0.057
22.474,0.061
21.696,0.064
22.847,0.068
27.941,0.077
25.541,0.088
25.32,0.111
25.369,0.117
25.567,0.124
25.426,0.127
26.345,0.183
24.772,0.234
24.772,0.234
25.442,0.26
23.739,0.278
24.011,0.446
23.451,0.511
26.479,0.523
24,0.607
25.572,0.65
27.484,0.67
29.463,0.008
31.211,0.016
33.332,0.021
30.514,0.023
29.115,0.024
32.414,0.029
32.739,0.041
30.096,0.045
32.506,0.049
32.506,0.049
30.608,0.051
31.677,0.052
30.194,0.067
30.899,0.103
32.46,0.121
31.105,0.123
33.234,0.123
32.36,0.144
30.098,0.155
30.098,0.155
32.364,0.168
31.089,0.179
31.089,0.179
31.466,0.204
30.454,0.24
29.079,0.262
36.476,0.008
35.139,0.011
36.556,0.017
40.034,0.019
35.251,0.023
41.729,0.032
36.05,0.036
34.265,0.052
36.939,0.061
37.197,0.077
37.744,0.095
37.169,0.099
37.959,0.12
37.65,0.128
37.239,0.156
40.383,0.169
35.226,0.522
10.78,0.007
5.45,0.055
7.191,0.416
13.08,0.007
12.976,0.022
5.816,0.061
4.107,0.51
20.061,0.014
12.751,0.006
10.664,0.086
14.741,0.006
12.595,0.073
17.867,0.117
12.652,0.021
17.692,0.013
13.213,0.005
13.447,0.013
11.912,0.062
7.99,0.023
16.613,0.216
10.824,0.331
10.427,0.697
15.314,0.012
12.711,0.004
17.597,0.077
12.795,0.052
14.567,0.116
14.109,0.008
11.553,0.019
15.237,0.095
14.031,0.008
15.351,0.013
4.336,0.083
7.375,0.829
8.636,0.831
3.982,0.398
7.139,0.017
6.034,0.074
7.827,0.01
4.367,0.013
12.655,0.019
10.08,0.026
8.77,0.014
4.859,0.096
19.218,0.022
10.634,0.017
8.253,0.119
9.848,0.189
8.175,0.043
11.216,0.038
6.729,0.424
10,0.399
14.549,0.009
16.38,0.016
5.933,0.004
5.176,0.043
6.545,0.208
18.757,0.062
10.967,0.103
13.741,0.05
11.465,1.282
9.209,0.124
9.705,0.345
11.879,0.26
11.712,0.636
18.182,0.02
5.718,0.02
12.902,0.05
10.105,0.005
3.351,0.034
5.343,0.419
9.9,0.032
13.839,0.928
15.709,0.085
15.743,0.039
18.544,0.004
5.939,0.212
23.905,8.742
9.952,0.107
15.606,0.156
14.693,0.018
11.053,0.017
10.819,0.033
8.298,0.004
11.701,0.011
17.903,0.01
11.033,0.054
11.98,0.124
18.711,0.055
10.832,0.131
7.285,0.008
7.669,0.216
6.361,1.262
5.906,0.406
10.172,0.01
4.923,0.005
10.083,0.21
20.038,0.086
14.151,0.008
10.769,0.024
4.447,0.033
