t,lftm coop (%),std
0,0.6227169450388258,0.13455334776577507
1,0.5649206372653799,0.15367149229676438
2,0.49627015322593465,0.17526819416376732
3,0.41951455594771253,0.19759841732529657
4,0.33949096202715134,0.21860696775997576
5,0.2627450824971752,0.23652681852146437
6,0.19672989657643478,0.25047385175290454
7,0.1489044459020646,0.2607832647654717
8,0.12606422884001547,0.26899421711408006
9,0.13400931142447206,0.27757661581667475
10,0.1773760281347142,0.2895215932166821
11,0.2593184502532974,0.3078074480259867
12,0.38080653733360925,0.33472763711186604
13,0.53958922357712,0.37126116997581304
14,0.7292567788241517,0.4168264234788779
15,0.9391071209258617,0.46954244374804327
16,1.1553655570144568,0.5267266935446736
17,1.3636256034612662,0.5852935368242023
18,1.551588350351449,0.642026938060579
19,1.7109585791568243,0.6939133935882134
20,1.8379082048654165,0.7385613452226056
21,1.9323242869910713,0.7745074731135525
22,1.9965009644837983,0.8012494651921163
23,2.03387715044589,0.819041424326349
24,2.0481258756321905,0.8285992456121452
25,2.0426378161762617,0.8308404656548799
26,2.0203092575625132,0.8267104958419202
27,1.9835177043832417,0.817092555203104
28,1.9341909045245316,0.8027764821502659
29,1.8739084743244756,0.7844605257153969
30,1.8040028516398499,0.7627671355972351
31,1.7256444314422772,0.7382613667994138
32,1.6399061050873178,0.7114662228890666
33,1.547807679126583,0.6828728520638058
34,1.4503429422896983,0.6529455032178145
35,1.3484928803251515,0.6221221210708552
36,1.2432285153986857,0.590811836986475
37,1.135506497195658,0.5593906644582004
38,1.0262601072691573,0.5281965906710143
39,0.9163878533327766,0.49752505330092145
40,0.8067413677985065,0.4676255509818814
