F,τ_weak,τ_strong
0,0.11503049214077346,0.02403141429335047
1,0.11497897798473625,0.030082687696885824
2,0.11490343432099598,0.037704337478903394
3,0.1147949716977999,0.04729814956355906
4,0.11464179709886287,0.05935231203642296
5,0.11442346363325992,0.07444770361961922
6,0.11411291519386974,0.09324889801222663
7,0.11367583752208722,0.11647817224916523
8,0.11306414651579293,0.14484416562157953
9,0.11221769397028589,0.1789193472514752
10,0.11106959463144671,0.21894302022787868
11,0.10954352334959813,0.26456794165996383
12,0.10756997188316791,0.3145817052511153
13,0.10510452193836581,0.3667258427984935
14,0.10214013298911445,0.4177633778660548
15,0.09872790630742735,0.4639055943375525
16,0.09496746172251241,0.5015207365278898
17,0.09099800864797,0.5279836928654078
18,0.08695927792734838,0.5421481563813676
19,0.08297234662686528,0.5443806512803142
20,0.0791202496510652,0.5362516750926054
21,0.0754421289677358,0.5199143062492464
22,0.07194793145750301,0.49763406734366233
23,0.06862579642578621,0.4714525244286109
24,0.0654525481719736,0.4430430677046298
25,0.062403635878687476,0.4136714426541618
26,0.05945686570792566,0.3842544759948056
27,0.056593722883351946,0.35542096190403416
28,0.053801203276872725,0.3275913757842547
29,0.05107118017853991,0.30101489780635593
30,0.04840013380770491,0.27585540632670935
31,0.045787252663373655,0.252178315034038
32,0.04323456389169366,0.2300159651251971
33,0.04074538877330293,0.20935992406983842
34,0.03832456550017732,0.19017333429601962
35,0.03597673238017202,0.1724163602597154
36,0.03370713721848994,0.1560286316844937
37,0.03152034590431556,0.14095091377820873
38,0.029420362264345974,0.12711356214547864
39,0.027410766175964607,0.1144480663870354
40,0.02549388187921628,0.10288421285199136
